RSSD9001,RSSD9017,RSSD9999,RCFD2170
93619,"STATE STREET BANK AND TRUST COMPANY, NATIONAL ASSOCIATION",03/31/2022,37933.0
94139,MERCHANTS & MARINE BANK,03/31/2022,0.0
94522,BENCHMARK COMMUNITY BANK,03/31/2022,0.0
94755,SUNDANCE STATE BANK,03/31/2022,0.0
94858,ADRIAN BANK,03/31/2022,0.0
95051,ONE AMERICAN BANK,03/31/2022,0.0
95677,"ROCKLAND SAVINGS BANK, FSB",03/31/2022,0.0
96553,"HERSHEY STATE BANK, THE",03/31/2022,0.0
97055,HENDERSON STATE BANK,03/31/2022,0.0
97279,WOODSFIELD SAVINGS BANK,03/31/2022,0.0
97457,CITIZENS BANK,03/31/2022,0.0
97804,MOUNTAINONE BANK,03/31/2022,0.0
97943,MARION COUNTY STATE BANK,03/31/2022,0.0
98351,"CITIZENS STATE BANK OF OURAY, THE",03/31/2022,0.0
98463,CITIZENS BANK,03/31/2022,0.0
98717,"EASTBANK, NATIONAL ASSOCIATION",03/31/2022,0.0
99143,MERCHANTS & PLANTERS BANK,03/31/2022,0.0
99376,"NATIONAL COOPERATIVE BANK, N.A.",03/31/2022,0.0
99442,BANK OF COMMERCE,03/31/2022,0.0
99536,ONE BANK OF TENNESSEE,03/31/2022,0.0
99853,FIRST STATE BANK,03/31/2022,0.0
100236,SUNMARK COMMUNITY BANK,03/31/2022,0.0
100357,"LEGEND BANK, N. A.",03/31/2022,0.0
100562,TRI COUNTIES BANK,03/31/2022,0.0
100777,CFSBANK,03/31/2022,0.0
100843,FNBC BANK,03/31/2022,0.0
101019,BANK LEUMI USA,03/31/2022,8202927.0
101037,FIRST AMERICAN BANK AND TRUST,03/31/2022,0.0
101439,"DURDEN BANKING COMPANY, INCORPORATED",03/31/2022,0.0
101671,ADIRONDACK BANK,03/31/2022,0.0
101738,GREAT SOUTHERN BANK,03/31/2022,0.0
101952,"BRADY NATIONAL BANK, THE",03/31/2022,0.0
102333,WILKINSON COUNTY BANK,03/31/2022,0.0
102342,RACCOON VALLEY BANK,03/31/2022,0.0
102539,COMMUNITY BANKS OF SHELBY COUNTY,03/31/2022,0.0
102557,FOUNDATION ONE BANK,03/31/2022,0.0
102874,PAPER CITY SAVINGS ASSOCIATION,03/31/2022,0.0
103134,"BANK OF COMMERCE, THE",03/31/2022,0.0
104234,"HARRISON COUNTY BANK, THE",03/31/2022,0.0
104542,MARSEILLES BANK,03/31/2022,0.0
104971,MARTINSVILLE FIRST SAVINGS BANK,03/31/2022,0.0
105026,"FARMERS BANK OF WILLARDS, THE",03/31/2022,0.0
105473,HOME FEDERAL BANK OF TENNESSEE,03/31/2022,0.0
105530,FARMERS STATE BANK,03/31/2022,0.0
106359,FIRST FIDELITY BANK,03/31/2022,0.0
106452,"PUEBLO BANK AND TRUST COMPANY, THE",03/31/2022,0.0
106676,BAR HARBOR SAVINGS AND LOAN ASSOCIATION,03/31/2022,0.0
107244,BANK OZK,03/31/2022,0.0
107459,"CORDER BANK, THE",03/31/2022,0.0
107570,FIRST FEDERAL SAVINGS BANK,03/31/2022,0.0
107758,BONANZA VALLEY STATE BANK,03/31/2022,0.0
108072,BUFFALO FEDERAL BANK,03/31/2022,0.0
108269,"FIRST NATIONAL BANK OF MOODY, THE",03/31/2022,0.0
108652,"FIRST NATIONAL BANK OF BUHL, THE",03/31/2022,0.0
108746,MASON CITY NATIONAL BANK,03/31/2022,0.0
108951,RELIABANK DAKOTA,03/31/2022,0.0
109136,PEOPLES BANK & TRUST,03/31/2022,0.0
109154,FIRST SECURITY BANK,03/31/2022,0.0
109453,BANKSTAR FINANCIAL,03/31/2022,0.0
109574,HAVERHILL BANK,03/31/2022,0.0
109659,LOUISIANA NATIONAL BANK,03/31/2022,0.0
110413,SUTTON BANK,03/31/2022,0.0
110936,BANCO DO BRASIL AMERICAS,03/31/2022,0.0
110945,UNITED SOUTHERN BANK,03/31/2022,0.0
110972,FIRST FEDERAL SAVINGS BANK OF WASHINGTON,03/31/2022,0.0
111157,BANK OF LINDSAY,03/31/2022,0.0
111205,PARTNERS BANK OF NEW ENGLAND,03/31/2022,0.0
111942,FORTIFI BANK,03/31/2022,0.0
111979,SECURITY STATE BANK,03/31/2022,0.0
112163,"GUARANTY BANK & TRUST, N.A.",03/31/2022,0.0
112332,FIRST NATIONAL BANK OF HARTFORD,03/31/2022,0.0
112510,"BALTIC STATE BANK, THE",03/31/2022,0.0
112556,STATE BANK OF CHANDLER,03/31/2022,0.0
112837,"CAPITAL ONE, NATIONAL ASSOCIATION",03/31/2022,385291041.0
113003,STAFFORD SAVINGS BANK,03/31/2022,0.0
113030,FARMERS STATE BANK,03/31/2022,0.0
113441,FARMERS STATE BANK,03/31/2022,0.0
113601,BANK OF NEW ENGLAND,03/31/2022,0.0
113740,FIRST STATE BANK,03/31/2022,0.0
114149,PARTNERS BANK,03/31/2022,0.0
114260,FIRST NATIONAL BANK ALASKA,03/31/2022,0.0
114457,"FIRST NATIONAL BANK & TRUST, ELK CITY, OKLAHOMA",03/31/2022,0.0
114774,"ABBEVILLE BUILDING AND LOAN, A STATE CHARTERED SAVINGS BANK",03/31/2022,0.0
114840,FIRST STATE BANK,03/31/2022,0.0
114859,FIRST BANK AND TRUST COMPANY,03/31/2022,0.0
115146,ST. ANSGAR STATE BANK,03/31/2022,0.0
115575,COASTAL HERITAGE BANK,03/31/2022,0.0
116358,STATE BANK OF COLD SPRING,03/31/2022,0.0
116554,FIRST STATE BANK,03/31/2022,0.0
116741,UNITED BANK AND TRUST COMPANY,03/31/2022,0.0
117038,HNB FIRST BANK,03/31/2022,0.0
117074,COLONIAL FEDERAL SAVINGS BANK,03/31/2022,0.0
117458,BANKFIRST,03/31/2022,0.0
